ID,Time,un,Fix_amb,SV,Moving,Phase,carr,x,y,z,a,b,c,layer,path
4560525_08263000,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1782,5036042.9571,159.7727,0.0106,0.0175,0.0205,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08263100,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1743,5036042.9511,159.7887,0.006,0.01,0.0117,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08263200,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1753,5036042.9509,159.7905,0.005,0.0082,0.0096,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08263300,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1733,5036042.9458,159.7816,0.0051,0.0082,0.0097,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08263400,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1761,5036042.9493,159.7793,0.0051,0.0083,0.0098,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08263500,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1747,5036042.9559,159.7821,0.0056,0.0091,0.0106,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08263600,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1686,5036042.9627,159.7828,0.0051,0.0082,0.0096,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08263700,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1603,5036042.9633,159.7868,0.0041,0.0067,0.0079,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08263800,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1786,5036042.9434,159.7827,0.0032,0.0053,0.0062,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08263900,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.2094,5036042.976,159.7882,0.004,0.0066,0.0077,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08264000,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.2067,5036042.9805,159.7766,0.0036,0.0058,0.0068,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08264100,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1904,5036042.9429,159.7878,0.0038,0.0062,0.0072,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08264200,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1954,5036042.984,159.782,0.004,0.0064,0.0076,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08264300,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1926,5036042.9801,159.7815,0.0034,0.0056,0.0065,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08264400,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1968,5036042.9936,159.7805,0.0036,0.0058,0.0068,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08264500,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1974,5036043.0025,159.7788,0.0032,0.0052,0.0061,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08264600,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1908,5036043.0021,159.7804,0.0024,0.0039,0.0046,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
