timestamp,latitude,longitude,altitude,speed,course,hacc
"1653471471999",45.47851,9.2258,163.757,0,0,"6"
"1653471472999",45.47851,9.2258,163.863,0,0,"6"
"1653471473999",45.47851,9.2258,163.984,0,0,"6"
"1653471474999",45.47851,9.22581,164.01,0,0,"6"
"1653471475999",45.47851,9.22581,164.065,0,0,"6"
"1653471476999",45.47851,9.22582,164.056,0,0,"6"
"1653471477999",45.47851,9.22583,164.112,0,0,"6"
"1653471478999",45.47851,9.22583,164.165,0,0,"6"
"1653471479999",45.47851,9.22584,164.163,0,0,"6"
"1653471480999",45.47852,9.22585,164.267,0,0,"6"
"1653471481999",45.47852,9.22586,164.288,0,0,"6"
"1653471482999",45.47852,9.22587,164.199,0,0,"6"
"1653471483999",45.47853,9.22588,164.218,0,0,"6"
"1653471484999",45.47853,9.22589,164.295,0,0,"6"
"1653471485999",45.47853,9.2259,164.257,0,0,"6"
"1653471486999",45.47854,9.22591,164.265,0,0,"6"
"1653471487999",45.47855,9.22593,164.191,0.542,79.61,"6"
"1653471488999",45.47855,9.22594,164.108,0.526,58.624,"6"
"1653471489999",45.47855,9.22594,163.9,0.577,65.021,"6"
"1653471490999",45.47855,9.22596,163.71,0.562,55.187,"4"
"1653471491999",45.47855,9.22597,163.561,0.477,42.014,"4"
"1653471492999",45.47855,9.22597,163.438,0.548,69.902,"4"
"1653471493999",45.47855,9.22599,163.447,0.541,67.772,"4"
"1653471494999",45.47856,9.22599,163.259,0.44,89.61,"6"
"1653471495999",45.47856,9.22599,163.185,0.453,67.081,"6"
"1653471496999",45.47857,9.22598,163.38,0.484,49.357,"6"
"1653471497999",45.47857,9.22598,163.174,0.525,49.693,"6"
"1653471498999",45.47858,9.22598,163.118,0.631,37.514,"4"
"1653471499999",45.47859,9.22599,163.126,0.631,36.72,"4"
"1653471500999",45.47859,9.22599,163.094,0.607,42.371,"4"
"1653471501999",45.4786,9.226,162.922,0.586,61.474,"4"
"1653471502999",45.4786,9.22601,162.768,0.567,65.23,"4"
"1653471503999",45.47861,9.22602,162.688,0.564,45.619,"4"
"1653471504999",45.47861,9.22603,162.475,0.569,55.208,"4"
"1653471505999",45.47861,9.22605,162.373,0.568,54.937,"4"
"1653471506999",45.47862,9.22606,162.148,0.574,31.613,"4"
"1653471507999",45.47862,9.22607,162.086,0.473,54.071,"4"
"1653471508999",45.47862,9.22607,162.382,0.545,59.955,"4"
"1653471509999",45.47862,9.22608,162.584,0.556,52.089,"4"
"1653471510999",45.47862,9.22609,162.818,0.493,80.37,"4"
"1653471511999",45.47863,9.2261,163.176,0.541,69.785,"4"
"1653471512999",45.47863,9.22611,163.111,0.515,39.99,"4"
"1653471513999",45.47863,9.22612,163.013,0.452,53.268,"4"
"1653471514999",45.47864,9.22613,162.959,0.527,69.68,"4"
"1653471515999",45.47864,9.22613,163.002,0.53,67.667,"4"
"1653471516999",45.47864,9.22614,163.149,0.506,74.872,"4"
"1653471517999",45.47865,9.22614,163.396,0.545,67.548,"4"
"1653471518999",45.47865,9.22615,163.158,0.551,69.254,"4"
"1653471519999",45.47866,9.22616,162.993,0.549,70.35,"4"
"1653471520999",45.47867,9.22617,163.037,0.588,79.374,"4"
"1653471521999",45.47867,9.22618,163.066,0.588,74.573,"4"
"1653471522999",45.47868,9.22619,162.91,0.583,73.185,"4"
"1653471523999",45.47868,9.22619,162.888,0.58,83.598,"4"
"1653471524999",45.47868,9.2262,162.752,0.578,77.013,"4"
"1653471525999",45.47868,9.22621,162.869,0.581,67.666,"4"
"1653471526999",45.47868,9.22622,162.744,0.44,67.666,"4"
"1653471527999",45.47869,9.22623,162.515,0.43,82.147,"4"
"1653471528999",45.47869,9.22624,162.149,0.554,86.912,"4"
"1653471529999",45.47869,9.22625,162.085,0.459,88.932,"4"
